Item name, prob, Mean Value (Train), Mean Value (Valid), 
肌酐, 0.9992, 
C-反应蛋白测定, 0.9963, 
直接胆红素, 0.9948, 
肌酸激酶同工酶ng/ml, 0.9945, 
高密度脂蛋白胆固醇, 0.9944, 
尿素氮, 0.9943, 
肌钙蛋白T, 0.9922, 
葡萄糖, 0.9920, 
平均血小板体积测定, 0.9920, 
血浆凝血酶原活动度测定, 0.9912, 
血清尿酸, 0.9908, 
乳酸脱氢酶, 0.9902, 
血清白蛋白, 0.9881, 
二氧化碳, 0.9879, 
尿上皮细胞, 0.9878, 
血培养(需氧菌)+鉴定+药敏, 0.9866, 
总胆红素, 0.9846, 
尿胆红素定性试验, 0.9846, 
血浆D-二聚体测定, 0.9840, 
尿酵母细胞, 0.9837, 
白细胞计数, 0.9827, 
碱性磷酸酶, 0.9800, 
尿红细胞检查(镜检）, 0.9790, 
国际标准化比值, 0.9732, 
尿糖定性试验, 0.9634, 
无机磷, 0.9608, 
血浆凝血酶原时间测定, 0.9605, 
天冬氨酸氨基转移酶, 0.9583, 
乙型肝炎病毒E抗原, 0.9558, 
凝血酶时间测定, 0.9556, 
中性粒细胞百分比, 0.9436, 
镁, 0.9426, 
γ-谷氨酰基转移酶, 0.9409, 
嗜酸粒细胞直接计数, 0.9407, 
肌酸激酶同工酶U/L, 0.9388, 
钙, 0.9357, 
尿比重测定, 0.8880, 
尿液酸碱度测定, 0.8876, 
钠, 0.8867, 
尿液亚硝酸盐试验, 0.8544, 
嗜碱性粒细胞, 0.8339, 
嗜酸性粒细胞, 0.8317, 
隐血检查, 0.8262, 
尿液结晶, 0.7939, 
总胆固醇, 0.7795, 
红细胞比积测定, 0.7502, 
单核细胞, 0.6282, 
钾, 0.5848, 
尿酮体试验, 0.5788, 
肌酸激酶, 0.5279, 
尿红细胞前向散射光分布宽度, 0.4276, 
尿液电导率, 0.4012, 
尿红细胞检查, 0.3767, 
总蛋白, 0.3763, 
粪便虫卵, 0.3279, 
ABO血型鉴定, 0.2893, 
甘油三酯, 0.2833, 
尿红细胞, 0.2143, 
不规则抗体筛查, 0.2091, 
血浆纤维蛋白原测定, 0.1817, 
低密度脂蛋白胆固醇, 0.1714, 
粪便白细胞, 0.1685, 
平均红细胞体积, 0.1447, 
氯化物, 0.0861, 
RH血型正定型（D抗原）, 0.0554, 
尿蛋白定性试验, 0.0544, 
尿白细胞, 0.0481, 
丙氨酸氨基转移酶, 0.0419, 
尿70%红细胞前向散射光所在位置, 0.0357, 
尿白细胞检查, 0.0323, 
粪便红细胞, 0.0310, 
乙型肝炎病毒核心抗体（发光法）, 0.0300, 
平均红细胞血红蛋白浓度, 0.0275, 
乙型肝炎病毒表面抗体（发光法）, 0.0236, 
血小板计数, 0.0204, 
乙型肝炎病毒E抗体（发光法）, 0.0202, 
尿胆原定性试验, 0.0201, 
尿白细胞检查(镜检）, 0.0196, 
总胆汁酸, 0.0178, 
血红蛋白测定, 0.0164, 
红细胞计数, 0.0113, 
淋巴细胞, 0.0081, 
平均红细胞血红蛋白量, 0.0069, 
尿上皮细胞检查(镜检）, 0.0063, 
尿液小圆上皮细胞, 0.0057, 
红细胞体积分布宽度测定CV, 0.0049, 
尿液管型(镜检), 0.0020, 
